-14,-8,-18,-10,-4,-16,-2,-12,-20,-6
-6,-8,-16,-2,-18,-20,-10,-4,-14,-12
14,16,2,12,18,6,10,4,20,8
-10,-12,-16,-20,-18,-14,-2,-6,-4,-8
8,10,14,18,12,2,16,4,20,6
12,14,10,18,4,6,2,20,8,16
-6,-14,-2,-18,-20,-16,-10,-4,-12,-8
-14,-6,-20,-18,-12,-16,-2,-10,-8,-4
-16,-18,-10,-14,-4,-6,-20,-8,-2,-12
-6,-8,-18,-2,-14,-20,-16,-10,-4,-12
-6,-18,-8,-2,-14,-20,-16,-10,-4,-12
-8,-10,-16,-18,-2,-4,-6,-20,-12,-14
6,8,14,16,4,20,18,2,10,12
-6,-10,-2,-16,-14,-4,-18,-20,-12,-8
14,16,10,20,18,6,8,2,4,12
14,16,10,12,20,18,8,4,2,6
6,16,2,12,18,20,8,10,4,14
12,18,2,20,14,6,16,8,4,10
-16,-14,-20,-4,-2,-18,-10,-8,-12,-6
10,8,12,16,2,18,6,20,4,14
8,10,18,14,2,16,4,20,12,6
12,16,8,20,14,4,18,10,2,6
-16,-14,-10,-20,-4,-18,-8,-2,-6,-12
-14,-16,-10,-20,-4,-18,-6,-2,-8,-12
14,18,12,4,16,20,6,10,2,8
8,18,2,12,16,20,6,10,4,14
-8,-16,-10,-18,-12,-4,-20,-6,-2,-14
-12,-16,-20,-14,-18,-2,-6,-10,-4,-8
-16,-10,-18,-14,-2,-6,-20,-8,-4,-12
-14,-16,-12,-20,-4,-18,-8,-2,-10,-6
12,16,8,20,14,2,18,4,10,6
12,10,18,14,16,2,6,20,4,8
-16,-14,-12,-20,-4,-18,-8,-2,-10,-6
8,14,18,20,16,6,2,4,10,12
-16,-14,-18,-2,-12,-20,-4,-8,-6,-10
-10,-12,-14,-20,-16,-2,-18,-8,-4,-6
-6,-12,-16,-14,-18,-4,-8,-2,-20,-10
12,10,18,20,16,2,6,8,4,14
-6,-10,-14,-16,-2,-18,-4,-20,-8,-12
-16,-12,-20,-14,-18,-4,-8,-2,-6,-10
-6,-10,-16,-14,-2,-18,-8,-20,-4,-12
-14,-16,-18,-20,-4,-6,-8,-2,-10,-12
14,8,10,12,20,18,16,2,6,4
-10,-8,-12,-14,-2,-16,-18,-20,-4,-6
10,12,20,14,18,16,8,4,2,6
-14,-16,-10,-20,-2,-18,-6,-8,-4,-12
-14,-12,-18,-2,-20,-16,-6,-8,-4,-10
14,16,12,20,2,18,8,10,4,6
6,16,10,12,18,2,20,8,4,14
-8,-16,-10,-2,-14,-18,-6,-20,-12,-4
-14,-16,-20,-12,-2,-4,-18,-10,-8,-6
16,14,18,20,2,6,4,8,10,12
-8,-10,-12,-14,-16,-18,-20,-2,-4,-6
-12,16,18,20,14,-2,8,10,4,6
12,16,18,20,-14,2,-8,-10,4,6
12,-16,-18,-20,14,2,8,10,-4,-6
14,16,10,-18,4,8,20,2,12,-6
-16,-14,12,-20,4,-18,8,-2,-10,-6
-16,-14,-12,-20,-4,18,-8,-2,10,-6
-14,-16,-20,-12,18,-6,-8,-4,-2,10
-14,-16,-20,12,-18,6,8,-4,-2,-10
-14,8,-10,12,-20,18,-16,-2,-6,4
-14,-8,10,-12,20,18,-16,-2,6,4
14,8,-10,12,20,-18,16,2,6,-4
-6,-16,-2,-12,18,-14,-8,-20,-4,10
14,-8,-10,-12,-20,-18,16,2,-6,-4
6,8,-14,10,2,-16,-18,-4,-20,-12
